# 主线关卡（第一章 10 关，数值占位待定稿）
# id 格式：<chapter>_<node>；enemies 引用 unit.id（可多个，`;` 分隔）；next 由同章 node+1 自动推导

id	chapter	node	name	enemies	exp_reward	copper_reward
str	int	int	str	ref:unit.id	int	int
关卡ID	章节	序号	关卡名	敌方阵容	经验奖励	铜钱奖励
1_1	1	1	山道初行	u004	50	1000
1_2	1	2	雾林小径	u004;u005	60	1200
1_3	1	3	断桥遗冢	u004;u005	75	1500
1_4	1	4	荒祠夜影	u005;u006	90	1800
1_5	1	5	岩台守望	u004;u005;u006	110	2200
1_6	1	6	溪谷伏击	u004;u005;u006	130	2600
1_7	1	7	古藤迷障	u004;u005;u006	150	3000
1_8	1	8	坠星潭	u004;u005;u006	180	3600
1_9	1	9	铁衣营外	u004;u005;u006	210	4200
1_10	1	10	黑风当头	u004;u005;u006	300	6000
